Godinamesec,cpi_consumer,cpi_excluding
200701,5.5,0.1
200702,4.1,0
200703,4.1,0.6
200704,3.2,0.2
200705,3,0.3
200706,4,0.8
200707,4.2,0.4
200708,6.5,0.5
200709,8,0.1
200710,8.9,0.4
200711,9.3,0.4
200712,11,0.4
200801,11.5,0.3
200802,12.5,0.1
200803,13.6,0.4
200804,14.6,0.4
200805,14.5,0.5
200806,14.9,0.3
200807,13.9,0.1
200808,11.5,0.7
200809,10.9,0.5
200810,12.3,0.6
200811,10.9,0.6
200812,8.6,0.5
200901,10,2
200902,10.7,0.9
200903,9.4,0.5
200904,8.8,1.4
200905,9.1,0.6
200906,8.3,0.5
200907,8.5,0.6
200908,8,0.6
200909,7.3,0.2
200910,5.2,0.2
200911,5.9,0.4
200912,6.6,0.3
201001,4.8,0.6
201002,3.9,0.7
201003,4.7,0.5
201004,4.3,0.4
201005,3.7,0.6
201006,4.2,0.8
201007,5.1,0.8
201008,6.6,0.5
201009,7.7,1
201010,8.9,0.9
201011,9.6,0.6
201012,10.3,0.5
201101,11.2,0.4
201102,12.6,0.4
201103,14.1,0.4
201104,14.7,0.4
201105,13.4,0.3
201106,12.7,0.4
201107,12.1,0.2
201108,10.5,1
201109,9.3,0.3
201110,8.7,0.3
201111,8.1,0.8
201112,7,0.2
201201,5.6,0.5
201202,4.9,0.5
201203,3.2,0.3
201204,2.7,0.5
201205,3.9,0.5
201206,5.5,1.1
201207,6.1,0.8
201208,7.9,0.6
201209,10.3,0.1
201210,12.9,1.4
201211,11.9,0.9
201212,12.2,0.7
201301,12.8,0.5
201302,12.4,0.2
201303,11.2,0
201304,11.4,0.3
201305,9.9,0.3
201306,9.8,1
201307,8.6,0.7
201308,7.3,0.4
201309,4.9,-0.3
201310,2.2,0.6
201311,1.6,0.2
201312,2.2,0.3
201401,3.1,0.1
201402,2.6,-0.1
201403,2.3,-0.1
201404,2.1,0.2
201405,2.1,0.1
201406,1.3,0.4
201407,2.1,0.8
201408,1.5,-0.2
201409,2.1,-0.4
201410,1.8,0.5
201411,2.4,0.2
201412,1.7,0.6
201501,0.1,-0.5
201502,0.8,0
201503,1.9,0
201504,1.8,0.3
201505,1.5,0.1
201506,1.9,0.6
201507,1,0.5
201508,2.1,0.2
201509,1.4,-0.5
201510,1.4,0.6
201511,1.3,0.3
201512,1.5,0
201601,2.4,-0.1
201602,1.5,-0.3
201603,0.6,0
201604,0.4,0.3
201605,0.7,0
201606,0.3,0.6
201607,1.2,0.5
201608,1.2,0.5
201609,0.6,-0.7
201610,1.5,0.5
201611,1.5,0.2
201612,1.6,0.1
201701,2.4,0
201702,3.2,-0.3
201703,3.6,0.4
201704,4,0.2
201705,3.5,0.1
201706,3.6,0.4
201707,3.2,0.2
201708,2.5,0.3
201709,3.2,-0.6
201710,2.8,0.3
201711,2.8,0.2
201712,3,0.1
201801,1.9,-0.1
201802,1.5,-0.2
201803,1.4,-0.1
201804,1.1,0.3
201805,2.1,0.2
201806,2.3,0.4
201807,2.4,0.2
201808,2.6,0.5
201809,2.1,-0.7
201810,2.2,0.3
201811,1.9,0.1
201812,2,0.1
201901,2.1,0.2
201902,2.4,-0.2
201903,2.8,-0.1
201904,3.1,0.5
201905,2.2,0.2
201906,1.5,0.3
201907,1.6,0.3
201908,1.3,0.2
201909,1.1,-0.6
