CUSTOMER_RK,cash_loan
427759,nije u prvih 6
429036,nije u prvih 6
429594,nije u prvih 6
430033,nije u prvih 6
430607,nije u prvih 6
433568,nije u prvih 6
434028,nije u prvih 6
436982,nije u prvih 6
437038,nije u prvih 6
437467,prvih 6
439511,nije u prvih 6
443352,nije u prvih 6
449995,nije u prvih 6
450438,nije u prvih 6
450481,nije u prvih 6
450774,nije u prvih 6
451353,nije u prvih 6
453870,nije u prvih 6
454163,nije u prvih 6
454500,nije u prvih 6
457907,nije u prvih 6
459189,nije u prvih 6
459902,nije u prvih 6
460006,nije u prvih 6
464134,nije u prvih 6
466678,nije u prvih 6
470096,nije u prvih 6
477089,nije u prvih 6
480083,nije u prvih 6
480874,nije u prvih 6
483501,nije u prvih 6
484954,nije u prvih 6
485054,nije u prvih 6
485235,nije u prvih 6
485389,nije u prvih 6
487974,nije u prvih 6
489025,nije u prvih 6
490519,nije u prvih 6
491299,nije u prvih 6
495202,nije u prvih 6
495274,nije u prvih 6
495323,nije u prvih 6
495406,nije u prvih 6
495712,prva 3
496077,nije u prvih 6
496808,nije u prvih 6
497008,nije u prvih 6
497482,nije u prvih 6
498683,nije u prvih 6
499046,nije u prvih 6
499410,nije u prvih 6
499925,nije u prvih 6
500371,nije u prvih 6
500586,nije u prvih 6
502070,nije u prvih 6
502741,nije u prvih 6
502747,nije u prvih 6
502898,nije u prvih 6
503276,nije u prvih 6
504304,nije u prvih 6
504695,nije u prvih 6
504920,nije u prvih 6
505018,prvih 6
505647,nije u prvih 6
507519,prva 3
508413,nije u prvih 6
509012,nije u prvih 6
509365,nije u prvih 6
510463,nije u prvih 6
511346,nije u prvih 6
511399,nije u prvih 6
514380,nije u prvih 6
515445,nije u prvih 6
515782,nije u prvih 6
516172,nije u prvih 6
517956,nije u prvih 6
519107,nije u prvih 6
519194,nije u prvih 6
520679,nije u prvih 6
522392,nije u prvih 6
522462,nije u prvih 6
522703,nije u prvih 6
522833,nije u prvih 6
523910,nije u prvih 6
523983,nije u prvih 6
525563,nije u prvih 6
526834,nije u prvih 6
527785,nije u prvih 6
530594,nije u prvih 6
