grad,F,P,R,broj_prijava,broj_obveznika
Ada,20.788,618.0,773.0,"17,862","10,456"
Aleksandrovac,17.699,566.0,4.441,"10,499","8,835"
Aleksinac,49.31399999999999,855.0,1.999,"68,755","32,256"
Alibunar,23.223000000000003,470.0,877.0,"23,420","12,681"
Apatin,31.851999999999997,625.0,537.0,"28,387","15,519"
Aranđelovac,33.063,1.922,3.983,"22,635","17,137"
Arilje,15.909,714.0,934.0,"26,597","11,291"
Babušnica,13.37,169.0,450.0,"9,448","7,595"
Bajina Bašta,21.391,557.0,2.198,"11,485","9,910"
Batočina,8.351,192.0,700.0,"47,718","6,330"
Bač,12.823,396.0,533.0,"32,883","8,828"
Bačka Palanka,46.733000000000004,1.767,1.179,"43,669","28,414"
Bačka Topola,42.063,1.443,659.0,"16,936","14,870"
Bački Petrovac,14.195,940.0,330.0,"15,092","7,181"
Bela Crkva,20.743000000000002,373.0,512.0,"21,156","12,085"
Bela Palanka,17.644000000000002,236.0,349.0,"29,523","12,554"
Beograd-Barajevo,28.576,826.0,882.0,"31,121","16,987"
Beograd-Grocka,48.383,2.069,1.935,"40,760","29,444"
Beograd-Lazarevac,35.204,1.666,1.121,"40,944","22,516"
Beograd-Mladenovac,31.234,1.329,1.082,"28,506","19,757"
Beograd-Novi Beograd,163.517,18.304000000000002,6.614,"122,769","100,725"
Beograd-Obrenovac,48.88,1.89,1.845,"43,207","29,251"
Beograd-Palilula,112.719,9.385,6.312,"88,603","73,504"
Beograd-Rakovica,70.945,3.395,2.798,"53,902","45,864"
Beograd-Savski Venac,43.17,8.256,2.496,"30,589","23,585"
Beograd-Sopot,30.246,776.0,2.017,"27,404","16,127"
Beograd-Stari Grad,58.222,17.384,3.8080000000000003,"39,299","32,748"
Beograd-Surčin,21.916,1.577,912.0,"23,093","14,294"
Beograd-Voždovac,121.75399999999999,9.017999999999999,4.715,"97,483","79,324"
Beograd-Vračar,63.36,10.485,3.8760000000000003,"46,530","36,795"
Beograd-Zemun,96.95299999999999,8.772,4.32,"76,372","63,208"
Beograd-Zvezdara,106.74700000000001,9.139,5.5120000000000005,"90,971","73,955"
Beograd-Čukarica,112.47399999999999,7.101,4.944,"93,765","72,410"
Beočin,23.32,476.0,509.0,"10,520","8,206"
Bečej,41.058,948.0,1.334,"48,542","22,324"
Blace,13.552,262.0,2.505,"19,715","7,840"
Bogatić,25.552,487.0,495.0,"36,838","15,253"
Bojnik,12.685,154.0,343.0,"19,261","9,497"
Boljevac,13.05,262.0,465.0,"25,042","9,852"
Bor,36.172,1.169,978.0,"40,288","22,440"
Bosilegrad,9.66,129.0,335.0,"4,087","3,408"
Brus,12.487,354.0,849.0,"324,777","11,948"
Bujanovac,15.78,633.0,665.0,"11,912","10,959"
Crna Trava,6.9110000000000005,88.0,775.0,"4,596","4,049"
Despotovac,19.225,612.0,1.4580000000000002,"16,213","10,145"
Dimitrovgrad,12.192,574.0,449.0,"8,102","5,694"
Doljevac,13.102,195.0,242.0,"18,674","9,125"
Gadžin Han,12.555,272.0,1.4680000000000002,"22,332","9,321"
Golubac,7.66,159.0,385.0,"7,364","5,050"
Gornji Milanovac,29.87,1.002,1.0290000000000001,"20,415","17,616"
Inđija,59.208999999999996,2.986,1.765,"56,613","33,393"
Irig,20.152,385.0,461.0,"18,966","11,498"
Ivanjica,23.063000000000002,1.063,1.847,"14,741","11,060"
Jagodina,50.95399999999999,1.9869999999999999,5.757000000000001,"38,624","30,012"
Kanjiža,23.185,392.0,441.0,"53,868","14,605"
Kikinda,58.494,1.485,1.436,"39,856","27,181"
Kladovo,18.151,335.0,362.0,"84,724","14,036"
Knić,19.707,310.0,1.636,"28,019","11,681"
Knjaževac,27.147,689.0,2.092,"44,941","17,469"
Koceljeva,16.31,258.0,2.0269999999999997,"7,341","5,317"
Kosjerić,9.167,264.0,602.0,"12,931","6,120"
Kostolac,55.556999999999995,3.142,2.3409999999999997,"9,100","5,628"
Kovačica,24.339000000000002,700.0,618.0,"25,209","14,438"
Kovin,37.24,1.056,1.662,"37,029","20,227"
Kragujevac - grad,85.611,3.148,10.197000000000001,"238,649","73,732"
Kraljevo,86.137,3.053,10.2,"117,573","60,603"
Krupanj,15.798,306.0,524.0,"26,238","11,671"
