Grad,F,P,R
Ada,20.788,618.0,773.0
Aleksandrovac,17.699,566.0,4.441
Aleksinac,49.314,855.0,1.999
Alibunar,23.223,470.0,877.0
Apatin,31.852,625.0,537.0
Aranđelovac,33.063,1.9220000000000002,3.983
Arilje,15.909,714.0,934.0
Babušnica,13.37,169.0,450.0
Bajina Bašta,21.391,557.0,2.198
Batočina,8.351,192.0,700.0
Bač,12.823,396.0,533.0
Bačka Palanka,46.733,1.767,1.179
Bačka Topola,42.063,1.443,659.0
Bački Petrovac,14.195,940.0,330.0
Bela Crkva,20.743,373.0,512.0
Bela Palanka,17.644,236.0,349.0
Beograd-Barajevo,28.576,826.0,882.0
Beograd-grad,1.0,2.0,
Beograd-Grocka,48.383,2.069,1.935
Beograd-Lazarevac,35.204,1.666,1.121
Beograd-Mladenovac,31.234,1.329,1.082
Beograd-Novi Beograd,163.517,18.304,6.614
Beograd-Obrenovac,48.88,1.8900000000000001,1.845
Beograd-Palilula,112.719,9.385,6.312
Beograd-Rakovica,70.945,3.395,2.798
Beograd-Savski Venac,43.17,8.256,2.496
Beograd-Sopot,30.246,776.0,2.017
Beograd-Stari Grad,58.222,17.384,3.808
Beograd-Surčin,21.916,1.577,912.0
Beograd-Voždovac,121.754,9.018,4.715
Beograd-Vračar,63.36,10.485,3.876
Beograd-Zemun,96.953,8.772,4.32
Beograd-Zvezdara,106.747,9.139,5.5120000000000005
Beograd-Čukarica,112.474,7.101,4.944
Beočin,23.32,476.0,509.0
Bečej,41.058,948.0,1.334
Blace,13.552,262.0,2.505
Bogatić,25.552,487.0,495.0
Bojnik,12.685,154.0,343.0
Boljevac,13.05,262.0,465.0
Bor,36.172,1.169,978.0
Bosilegrad,9.66,129.0,335.0
Brus,12.487,354.0,849.0
Bujanovac,15.78,633.0,665.0
Crna Trava,6.911,88.0,775.0
Despotovac,19.225,612.0,1.458
Dimitrovgrad,12.192,574.0,449.0
Doljevac,13.102,195.0,242.0
Gadžin Han,12.555,272.0,1.468
Golubac,7.66,159.0,385.0
Gornji Milanovac,29.87,1.002,1.029
Inđija,59.209,2.9859999999999998,1.7650000000000001
Irig,20.152,385.0,461.0
Ivanjica,23.063,1.063,1.847
Jagodina,50.954,1.987,5.757
Kanjiža,23.185,392.0,441.0
Kikinda,58.494,1.4849999999999999,1.436
Kladovo,18.151,335.0,362.0
Knić,19.707,310.0,1.6360000000000001
Knjaževac,27.147,689.0,2.092
Koceljeva,16.31,258.0,2.027
Kosjerić,9.167,264.0,602.0
Kostolac,55.557,3.142,2.341
